,Year,65–69,65–69_rate,70–74,70–74_rate,75–79,75–79_rate,80–84,80–84_rate,85–89,85–89_rate,90–95,90–95_rate,95+,95+_rate,Total,Gender
30,2013–14,6353,1145.5887709579813,7105,1740.5555569165342,9752,3071.3799793393637,14227,5625.165568150816,16770,9360.452784692841,11274,13429.262307774772,3862,16605.753106591565,105405,Female
31,2014–15,7244,1262.8217196968112,7993,1866.969380580996,10397,3178.4220695052463,14408,5690.565620420947,17639,9712.46393410127,12360,13946.875493669744,4145,16819.509819834442,112075,Female
32,1999–00,4858,720.4251961964871,7127,1137.2485191993464,10268,2065.480644668131,11231,3737.6863684771033,11817,7012.806665638019,4467,7496.979054779807,1240,7634.997844960285,112747,Persons
33,2000–01,4726,699.7894412641816,7111,1125.8030707462185,10201,2000.2627538565011,11859,3736.0947901341137,11487,6534.68726000512,5904,9237.123724888917,1652,9395.973154362417,113998,Persons
34,2001–02,4961,723.5163976146273,7117,1125.028848920181,10639,2047.528685416915,12815,3808.445446953689,11889,6541.582987152329,6489,9569.808426858584,1851,10034.15189461701,116136,Persons
35,2002–03,4878,694.3248409728518,7121,1133.6229609193792,10733,2033.2965813034468,13370,3777.7539176184046,12105,6510.234594327141,6745,9465.736699552324,2006,10662.272775592643,116844,Persons
36,2003–04,5091,704.9674518563035,7314,1174.0815949787705,11187,2087.3449464869464,14367,3870.7956590617628,13051,6919.312681253545,7351,9809.442472443887,2149,11124.339993788177,123495,Persons
37,2004–05,5584,750.7697272006131,7172,1156.9253402460645,11358,2096.833150566577,15303,3966.840603152631,13084,6719.909606841118,7765,9782.677165354331,2443,12121.061771272636,126866,Persons
38,2005–06,5917,774.4835358439149,7515,1208.939881181238,11648,2136.2442595771527,16099,4058.608945124703,14277,6932.265112891478,8699,10436.96309449537,2667,12612.910853629699,132629,Persons
39,2006–07,6445,819.057543716958,7688,1216.090099495405,12124,2215.659471194965,17210,4237.256837839368,15840,7227.39841033737,9544,11048.725992984568,2939,13139.306151645209,140843,Persons
40,2007–08,6776,832.5347094237621,8275,1274.916725983034,12506,2284.9479555873063,17187,4133.865369767727,16729,7191.526130486929,9862,11140.355831685965,3136,13230.9509746013,145781,Persons
41,2008–09,7089,837.4364450828813,8738,1305.9567650294132,12602,2302.790868507754,17924,4221.116415112558,18422,7499.470778850695,10365,11533.582587795434,3470,13945.263834746613,153186,Persons
42,2009–10,7783,877.3244928302422,9339,1348.4051308410676,13055,2379.3164408852404,18855,4356.535843511291,20131,7812.433298794236,10879,11641.021251096796,3726,14178.082191780823,161147,Persons
43,2010–11,8583,921.5872388675095,10252,1431.2778608455037,13627,2459.4143392140054,20405,4632.141454544629,22224,8301.582321036354,12679,12686.611967180308,4382,15961.825665683169,172620,Persons
44,2011–12,9100,920.175298450263,10831,1460.5932454810747,14096,2492.114903186569,21094,4741.162297263279,22912,8302.38178925894,13787,12822.134387351778,4571,16069.608015468448,179264,Persons
45,2012–13,9927,943.2698310438112,10944,1423.6819819151801,14523,2497.287426210255,20723,4640.68973239279,23623,8321.620431527961,14385,12471.389929255098,4579,15474.822575194323,178780,Persons
46,2013–14,10549,959.2494048452597,11642,1454.5354594555424,15135,2517.9844146164546,21099,4703.236247397494,24173,8286.00124086065,15531,12593.757855387883,4896,15934.387814879905,187002,Persons
47,2014–15,11855,1043.6639780544447,12907,1539.6140169647404,16431,2636.8917704455,21919,4862.093901254176,25754,8617.412835441342,16997,12955.030487804877,5359,16184.95364078403,198576,Persons
